"","Season","Data_Directory","FemaleRing","Sex","SiteID","start.track","end.track","MaleRing1","LayingDate1","clutchID1","clutchesF","clutch.n1","AnnClutchBySite1","AnnClutchByMale1","AnnClutchByFemale1","MaleRing2","LayingDate2","clutchID2","SiteId2","clutch.n2","SizeAfterCrossFostering2","HatchSizeRaisedObserved2","Fledglings2","AnnClutchBySite2","AnnClutchByMale2","AnnClutchByFemale2","divorce1.2","change.nest1.2","dist.all","ClutchIdM1","LeftWingM1","LeftTarsusM1","MassM1","BillLengthM1","ClutchIdF","LeftWingF","LeftTarsusF","MassF","BillLengthF","track.period","Data_Directory_gps.depl","tot.revisits","avg.rev.night","n.box2","avg.rev.box","tot.time","avg.time","med.time","avg.dist","sd.dist","min.dist","max.dist","spots.diamF","Fledglings.tot","Eggs.tot","Hatched.tot","fitness1","fitness2","fitness.tot1.2","LayingDate1_jul","LayingDate2_jul","perching","hunting","commuting","tot.behav","prop.perching","prop.hunting","prop.commuting","Date_attached_julian","Date_recapture_julian","Weight_attached","Weight_recapture","Weight_delta","Age","AgeBin","LayingDate_julian","Nb_Eggs.y","Nb_Nestlings1.y","Nb_Nestlings2.y","Nb_Fledglings.y","Ring_male","AgeBin_male","Wing_male","HR95_Sizekm2_male","DailyMassVariation_male","BodyCondition_resid_male","DistanceCovered_AveragePerNight_male","Ring_female","AgeBin_female","Wing_female","HR95_Sizekm2_female","DailyMassVariation_female","BodyCondition_resid_female","FeedingRate_AveragePerNight_female","DistanceCovered_AveragePerNight_female","Provisioning_rate_male","ColourF.new","Spots.nF.new","ColourM1.new","Spots.nM1.new","PointBreastM2","ColourM2.new","Spots.nM2.new"
"1",2016,"M017312_1614_090516","M017312","female",175,2016-05-10 21:05:34,2016-05-15 03:04:32,"M032322",2016-03-15,1509,2,1,1,1,1,"M031980",2016-06-09,1601,50,2,8,4,4,1,1,2,"yes","yes",4893.07766985602,1509,296,718,300,187,1509,299,750,364,182,5,"M017312_1614_090516",12,2.4,7,1.71428571428571,623.978867546717,2.90222729091496,0.937009632587433,2716.53572936446,1570.8015948899,149.457218901311,4689.70455778895,12.4675324675325,9,14,10,0.833333333333333,0.5,0.642857142857143,74,160,10674,2844,957,14475,0.73740932642487,0.196476683937824,0.0661139896373057,130,137,370,330,-40,2,2,75,6,6,5,5,"M032322",1,"296",1.98775669,-2.168674699,29.56844114,"26525.57226","M017312",2,"297",11.72805132,-5.586808923,38.91934134,16.16666667,"17333.63272",2.25238095316667,-6.25,15,-6,93,2,-7.5,12
"2",2016,"M021087_165_250516","M021087","female",24,2016-05-25 21:31:37,2016-06-02 05:59:38,"M031553",2016-03-27,1514,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1514,297,728,322,195,1514,295,737,400,189,8,"M021087_165_250516",5,0.625,4,1.25,4690.68291272322,30.0684802097643,1.3305014650027,2154.90373980332,2335.65218018242,109.425090068554,5353.18074584221,10.2222222222222,4,6,6,0.666666666666667,NA,0.666666666666667,86,NA,6687,2395,1097,10179,0.656940760389036,0.235288338736615,0.107770900874349,146,154,322,324,2,1,1,87,6,6,4,4,"M031553",1,"297",5.496521334,3.126308444,1.982563085,"16264.2544","M021087",1,"292.5",12.03221711,0.232258065,-6.063247879,4.444444444,"12666.2516",1.25,-2.5,62,-6.5,19,NA,NA,NA
"3",2016,"M022891_1621_160516","M022891","female",293,2016-05-17 21:31:47,2016-05-28 01:53:02,"M031539",2016-03-23,1518,2,1,1,1,1,"M031539",2016-06-08,1605,293,2,11,11,9,2,2,2,"no","no",0,1518,298,742,277,181,1518,305,709,435,200,11,"M022891_1621_160516",2,0.181818181818182,2,1,9702.97722418308,71.3454207660521,15.7564291616281,4429.22636686898,1751.03888601662,3191.05489644529,5667.39783729267,14.96153846,12,20,19,0.333333333333333,0.818181818181818,0.6,82,159,3662,786,791,5239,0.698988356556595,0.15002863141821,0.150983012025196,137,151,373,375,2,2,2,83,9,8,4,4,"M031539",1,"298",3.019057608,-2.851485149,-6.603314969,"14569.60058","M022891",2,"301.5",2.469918739,0.139737991,38.90193056,2.181818182,"3669.287215",1.0982142856875,-6.5,53,-3,77,59,-3,77
"4",2016,"M026255_1632_310516","M026255","female",472,2016-06-01 21:32:09,2016-06-09 01:29:55,"M032145",2016-04-01,1531,1,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1531,298,727,316,182,1531,289,705,379,194,8,"M026255_1632_310516",5,0.625,2,2.5,2617.42979486386,40.8973405447478,2.20040166378021,1255.66583183736,2.1511029234471,1254.14477237316,1257.18689130156,14.4791666665,3,5,5,0.6,NA,0.6,91,NA,8506,3958,913,13377,0.635867533826717,0.295880989758541,0.0682514764147417,152,161,350,340,-10,6,2,92,5,5,3,3,"M032145",1,"298",6.821350015,2.052256532,-1.603314969,"16396.85371","M026255",2,"282",3.877132575,-1.157928594,28.97737728,3.666666667,"13274.30637",0.8,-6.5,65,-5,47,NA,NA,NA
"5",2016,"M026459_1642_150716","M026459","female",464,2016-07-15 21:31:11,2016-07-25 04:57:51,"M027966",2016-05-16,1597,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1597,297,693,305,196,1597,286,699,390,188,10,"M026459_1642_150716",16,1.6,3,5.33333333333333,7411.8314955314,38.603289039226,2.13512070377668,1469.32232960831,1007.23501649924,460.102647739321,2474.56087902686,23,5,6,6,0.833333333333333,NA,0.833333333333333,136,NA,6810,1094,471,8375,0.813134328358209,0.130626865671642,0.0562388059701493,197,208,326,321,-5,6,2,137,6,6,6,5,"M027966",2,"297",2.175817479,-0.366365602,23.98256308,"11069.45698","M026459",2,"286",7.571558615,-0.444581661,2.295234362,6,"16402.95196",1.28571428566667,-5.5,70,-7.5,31,NA,NA,NA
"6",2016,"M027866_1636_030616","M027866","female",493,2016-06-04 22:02:08,2016-06-14 05:57:04,"M004351",2016-04-08,1543,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1543,305,721,258,193,1543,294,703,399,184,10,"M027866_1636_030616",1,0.1,1,1,4111.00176743269,32.6269981542277,3.12264201045036,1427.93631757343,0,1427.93631757343,1427.93631757343,23.425324675,3,6,4,0.5,NA,0.5,98,NA,6903,2173,813,9889,0.698048336535545,0.219739104055011,0.0822125594094448,155,167,330,303,-27,4,2,99,6,4,4,3,"M004351",2,"305",7.061820603,0,-27.70446135,"11717.15375","M027866",2,"294",5.741539444,-2.18549747,0.930948528,3.818181818,"9410.239181",1.01923076925,-5.5,69,-5,51,NA,NA,NA
"7",2016,"M027995_1665_280616","M027995","female",151,2016-06-28 21:32:04,2016-06-30 05:38:16,"M026903",2016-04-27,1581,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1581,300,742,300,182,1581,297,695,304,193,2,"M027995_1665_280616",1,0.5,1,1,47.3180235226949,3.15453490151299,1.83782510757446,712.039542626916,0,712.039542626916,712.039542626916,18.9577922077922,4,7,5,0.571428571428571,NA,0.571428571428571,117,NA,11424,1033,1385,13842,0.82531426094495,0.0746279439387372,0.100057795116313,180,190,290,345,55,1,1,118,7,5,5,4,"M026903",2,"300",10.18250871,-0.501812099,17.22492892,"12656.41001","M027995",1,"297",5.045032789,5.513784461,-41.08065866,2,"13781.43682",0.890909091,-3.5,66,-6.5,35,NA,NA,NA
"8",2016,"M028783_1627_180516","M028783","female",98,2016-05-19 21:31:58,2016-05-24 04:35:09,"M032252",2016-03-25,1513,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1513,295,663,273,181,1513,307,722,416,193,5,"M028783_1627_180516",0,0,0,0,0,0,0,0,0,0,0,19.7083333333333,3,6,6,0.5,NA,0.5,84,NA,NA,NA,NA,NA,NA,NA,NA,139,150,342,406,64,2,2,85,6,6,6,3,NA,NA,NA,NA,NA,NA,NA,"M028783",2,"306.5",1.404819316,5.82885333,4.549251912,2.333333333,"4613.13528",NA,-3.5,74,-5,99,NA,NA,NA
"9",2016,"M031529_166_090516","M031529","female",87,2016-05-10 21:30:34,2016-05-18 03:20:06,"M022672",2016-03-14,1508,2,1,1,1,1,"M022673",2016-06-17,1613,53,2,6,5,4,1,1,2,"yes","yes",945.905364903846,1508,285,709,290,169,1508,294,749,397,192,8,"M031529_166_090516",5,0.625,1,5,5337.33766576052,32.5447418643934,3.06929653485616,945.905364903846,0,945.905364903846,945.905364903846,9.02380952380952,7,10,9,0.75,0.666666666666667,0.7,73,168,9532,1982,1204,12718,0.749488913351156,0.155842113539865,0.0946689731089794,130,139,365,350,-15,NA,2,74,4,4,4,3,"M022672",2,"285",11.15043482,-1.105905844,31.01309973,"29000.97343","M031529",2,"296.75",24.33235754,-1.717011129,34.08697527,5.111111111,"22121.90262",2.10714285725,-6,49,-7,26,45,-7,65
"10",2016,"M031564_164_250516","M031564","female",99,2016-05-26 21:00:51,2016-06-01 00:48:24,"M031652",2016-04-08,1551,2,1,1,1,1,"M032322",2016-07-15,1634,13,2,9,4,2,1,2,2,"yes","yes",2296.20303963428,1551,306,709,271,191,1551,300,716,347,181,6,"M031564_164_250516",2,0.333333333333333,2,1,3235.09507636627,41.4755779021316,5.09035788973173,1986.20482930601,980.913326613555,1292.59436430131,2679.81529431071,16.1547619047619,7,16,10,0.714285714285714,0.222222222222222,0.4375,98,196,2275,397,229,2901,0.784212340572216,0.136849362288866,0.0789382971389176,146,154,314,325,11,1,1,102,7,6,5,5,"M031652",1,"306",4.793554845,0.446858029,-3.290339403,"10940.38","M031564",1,"299.3333333",6.221897038,1.369057908,-18.64524201,3.714285714,"10608.47581",0.641666666666667,-3,90,-4,105,50,-6,93
