"","id","Ring.x","Site.visited","Season.x","count.rev","prop.occupancy","occupancy","mean.fledg","fledge.per.year","dist.x","nest.life2005","log.dist","log.fledge.per.year","log.count.rev","count.rev.bin","prop.occupancy_z","mean.fledg_z","log.dist_z","occupancy_z","past.clutchF","future.clutchF","past.clutchF.bin","future.clutchF.bin","x","y","coordIdx","visitIdx","entranceTime","exitTime","timeSinceLastVisit","dates","visit","nights","year","Season","Ring.y","start.track","end.track","track.period","Data_Directory_gps.depl","Date_attached","Time_attached","Recording_StartDate","Recording_EndDate","Sex","BroodID","SiteID","NestboxID","Site_name","NestboxCount","nest","dist.y","laying.date","Eggs","Hatched","Fledglings","nights1","days.diff","occupied","n.nests","n.nests_z"
"1","M001167_A1882_040718","M001167",202,2018,1,0.636363636363636,7,3.4,0.309090909090909,5611.57906848051,11,8.63258743279284,0.269332933783584,0,0,0.885400191604704,0.0262692145688012,1.22257345172349,1.031978358589,0,0,0,0,6.540433911,46.68260331,200,1,2018-07-09 02:42:30,2018-07-09 02:44:03,NA,2018-07-09,1,2018-07-08,2018,2018,"M001167",2018-07-04 21:16:05,2018-07-10 05:59:43,6,"M001167_A1882_040718","04.07.2018","02:17",NA,NA,"female",1933,205,"205A","OrbeBochuz",2,"no",5611.57906848051,2018-04-20,6,0,0,2018-07-08 02:00:00,79,0,8,-1.1611178738837
"2","M001167_A1882_040718","M001167",278,2018,1,0.454545454545455,5,4.8,0.436363636363636,7198.94673321455,11,8.88169000724962,0.362114667234551,0,0,0.170467206996535,0.975219952741292,1.50801161806422,0.343007133513822,0,0,0,0,6.530655652,46.66942752,271,1,2018-07-05 23:57:20,2018-07-05 23:59:58,NA,2018-07-05,1,2018-07-05,2018,2018,"M001167",2018-07-04 21:16:05,2018-07-10 05:59:43,6,"M001167_A1882_040718","04.07.2018","02:17",NA,NA,"female",1933,205,"205A","OrbeBochuz",2,"no",7198.94673321455,NA,NA,NA,NA,2018-07-05 02:00:00,NA,0,8,-1.1611178738837
"3","M001167_A1882_040718","M001167",279,2018,1,0.538461538461538,7,4.88888888888889,0.376068376068376,6165.33897136891,13,8.72669839727734,0.319230430186707,0,0,0.50043627681569,1.03547079326018,1.33041200455095,1.031978358589,0,0,0,0,6.542704335,46.67733146,272,1,2018-07-09 02:33:27,2018-07-09 02:39:49,NA,2018-07-09,1,2018-07-08,2018,2018,"M001167",2018-07-04 21:16:05,2018-07-10 05:59:43,6,"M001167_A1882_040718","04.07.2018","02:17",NA,NA,"female",1933,205,"205A","OrbeBochuz",2,"no",6165.33897136891,NA,NA,NA,NA,2018-07-08 02:00:00,NA,0,8,-1.1611178738837
"4","M001167_A1882_040718","M001167",292,2018,1,0.461538461538462,6,2.77777777777778,0.213675213675214,3794.23809375086,13,8.24123890386353,0.193653122803505,0,0,0.197964629481465,-0.395486669063417,0.774140484937294,0.68749274605141,0,0,0,0,6.535495939,46.70039459,283,1,2018-07-05 23:40:51,2018-07-05 23:41:56,NA,2018-07-05,1,2018-07-05,2018,2018,"M001167",2018-07-04 21:16:05,2018-07-10 05:59:43,6,"M001167_A1882_040718","04.07.2018","02:17",NA,NA,"female",1933,205,"205A","OrbeBochuz",2,"no",3794.23809375086,2018-05-19,5,4,4,2018-07-05 02:00:00,47,1,8,-1.1611178738837
"5","M001167_A1882_040718","M001167",294,2018,1,0.307692307692308,4,2,0.153846153846154,1187.68971667988,13,7.07976528456294,0.143100843640673,0,0,-0.406978665186985,-0.922681523603689,-0.556752625538485,-0.00147847902376658,1,0,1,0,6.537429842,46.73258886,285,1,2018-07-06 03:51:53,2018-07-06 03:56:33,NA,2018-07-06,1,2018-07-05,2018,2018,"M001167",2018-07-04 21:16:05,2018-07-10 05:59:43,6,"M001167_A1882_040718","04.07.2018","02:17",NA,NA,"female",1933,205,"205A","OrbeBochuz",2,"no",1187.68971667988,NA,NA,NA,NA,2018-07-05 02:00:00,NA,0,8,-1.1611178738837
"6","M017312_1614_090516","M017312",3,2016,1,0.818181818181818,9,5.57142857142857,0.506493506493506,1584.52679926913,11,7.36804109237963,0.409784769252681,0,0,1.60033317621287,1.49811117581593,-0.226427183647594,1.72094958366418,0,0,0,0,6.864447631,46.8484703,3,1,2016-05-14 04:45:56,2016-05-14 04:47:37,NA,2016-05-14,1,2016-05-13,2016,2016,"M017312",2016-05-10 21:05:34,2016-05-15 03:04:32,5,"M017312_1614_090516","09.05.2016","19:00:00","09.05.2016","15.05.2016","female",1509,175,"175","SevazLaCondemine",2,"no",1584.52679926913,2016-04-08,8,7,5,2016-05-13 02:00:00,35,1,20,0.822717210104758
"7","M017312_1614_090516","M017312",84,2016,5,0.181818181818182,2,4.16666666666667,0.378787878787879,2336.66564284512,11,7.7564802532057,0.321204764490425,1.6094379124341,1,-0.901932269915718,0.545932714044213,0.218672037197142,-0.690449704098943,0,0,0,0,6.886775541,46.85494005,84,1,2016-05-10 23:10:08,2016-05-11 03:39:57,NA,2016-05-10,1,2016-05-10,2016,2016,"M017312",2016-05-10 21:05:34,2016-05-15 03:04:32,5,"M017312_1614_090516","09.05.2016","19:00:00","09.05.2016","15.05.2016","female",1509,175,"175","SevazLaCondemine",1,"no",2336.66564284512,2016-06-14,5,5,4,2016-05-10 02:00:00,-35,0,20,0.822717210104758
"8","M017312_1614_090516","M017312",90,2016,1,0.454545454545455,5,2.88888888888889,0.262626262626263,3216.15634116927,11,8.07594224266491,0.233193887167711,0,0,0.170467206996535,-0.320173118414807,0.584732663770974,0.343007133513822,0,0,0,0,6.916077265,46.83795911,90,1,2016-05-10 22:27:31,2016-05-10 22:31:28,NA,2016-05-10,1,2016-05-10,2016,2016,"M017312",2016-05-10 21:05:34,2016-05-15 03:04:32,5,"M017312_1614_090516","09.05.2016","19:00:00","09.05.2016","15.05.2016","female",1509,175,"175","SevazLaCondemine",1,"no",3216.15634116927,2016-04-01,11,7,5,2016-05-10 02:00:00,39,1,20,0.822717210104758
"9","M017312_1614_090516","M017312",91,2016,1,0.7,7,6.63636363636364,0.663636363636364,4343.01651218926,10,8.37632443455137,0.509005787049005,0,0,1.13562673621756,2.21994754437014,0.928930399344199,1.031978358589,0,0,0,0,6.930945342,46.83488663,91,1,2016-05-10 22:17:52,2016-05-10 22:18:03,NA,2016-05-10,1,2016-05-10,2016,2016,"M017312",2016-05-10 21:05:34,2016-05-15 03:04:32,5,"M017312_1614_090516","09.05.2016","19:00:00","09.05.2016","15.05.2016","female",1509,175,"175","SevazLaCondemine",2,"no",4343.01651218926,2016-02-14,6,5,4,2016-05-10 02:00:00,86,1,20,0.822717210104758
"10","M017312_1614_090516","M017312",94,2016,1,0.363636363636364,4,2.42857142857143,0.220779220779221,4689.70455778895,11,8.45312486538126,0.19948936041632,0,0,-0.186999285307549,-0.632186399673335,1.01693340050976,-0.00147847902376658,0,0,0,0,6.908373462,46.87082035,94,1,2016-05-13 23:15:09,2016-05-13 23:20:40,NA,2016-05-13,1,2016-05-13,2016,2016,"M017312",2016-05-10 21:05:34,2016-05-15 03:04:32,5,"M017312_1614_090516","09.05.2016","19:00:00","09.05.2016","15.05.2016","female",1509,175,"175","SevazLaCondemine",2,"no",4689.70455778895,2016-04-12,7,1,1,2016-05-13 02:00:00,31,1,20,0.822717210104758
