"","Data_Directory","FemaleRing","Season","track.period","avg.rev.night","n.box2","med.time","expl.01","sum.eggs","sum.fledg","avg.rev.night_z","n.box2_z","med.time_z"
"1","M017312_1614_090516","M017312",2016,5,2.4,7,0.937009632587433,"1",13,9,3.84748366336311,3.16925573163482,-0.433347750812761
"2","M021087_165_250516","M021087",2016,8,0.625,4,1.3305014650027,"1",6,4,0.471788623955459,1.44515372704451,-0.328224222886038
"3","M022891_1621_160516","M022891",2016,11,0.181818181818182,2,15.7564291616281,"1",9,12,-0.37105456770202,0.295752390650969,3.52574246246231
"4","M026255_1632_310516","M026255",2016,8,0.625,2,2.20040166378021,"1",5,3,0.471788623955459,0.295752390650969,-0.0958255545875193
"5","M026459_1642_150716","M026459",2016,10,1.6,3,2.13512070377668,"1",6,5,2.32604364560191,0.870453058847739,-0.113265725530566
"6","M027866_1636_030616","M027866",2016,10,0.1,1,3.12264201045036,"1",6,3,-0.526656387700324,-0.2789482775458,0.150556074843655
"7","M028783_1627_180516","M028783",2016,5,0,0,0,"0",6,3,-0.716836389920473,-0.85364894574257,-0.683675076984458
"8","M031529_166_090516","M031529",2016,8,0.625,1,3.06929653485616,"1",10,7,0.471788623955459,-0.2789482775458,0.136304534833357
"9","M031564_164_250516","M031564",2016,6,0.333333333333333,2,5.09035788973173,"1",16,7,-0.0829030491866426,0.295752390650969,0.676242297904046
"10","M031565_1634_030616","M031565",2016,8,0,0,0,"0",6,5,-0.716836389920473,-0.85364894574257,-0.683675076984458
"11","M031596_1666_220616","M031596",2016,8,0.25,2,4.98833248416583,"1",5,5,-0.2413863843701,0.295752390650969,0.648985644302344
"12","M031622_161_250616","M031622",2016,4,0.5,2,2.26689918438594,"1",9,5,0.234063621180273,0.295752390650969,-0.0780603727245413
"13","M031664_1654_300616","M031664",2016,13,0.384615384615385,4,2.10020442008972,"1",7,2,0.0146251570801006,1.44515372704451,-0.122593804593182
"14","M031710_1614_070616","M031710",2016,9,0.333333333333333,1,2.60761475761731,"1",9,2,-0.0829030491866426,-0.2789482775458,0.012963684516524
"15","M031877_1644_290616","M031877",2016,7,0,0,0,"0",5,5,-0.716836389920473,-0.85364894574257,-0.683675076984458
"16","M031916_1641_100816","M031916",2016,8,0.125,1,1.44843668540319,"1",6,1,-0.479111387145287,-0.2789482775458,-0.296717173910668
"17","M032043_1627_010616","M032043",2016,4,0,0,0,"0",7,4,-0.716836389920473,-0.85364894574257,-0.683675076984458
"18","M032045_161_300516","M032045",2016,9,0,0,0,"0",7,4,-0.716836389920473,-0.85364894574257,-0.683675076984458
"19","M032231_1626_250516","M032231",2016,3,0,0,0,"0",11,5,-0.716836389920473,-0.85364894574257,-0.683675076984458
"20","M032401_165_040516","M032401",2016,10,0.4,3,1.09037223656972,"1",15,5,0.0438836189601235,0.870453058847739,-0.392376079599944
"21","M032422_1657_250616","M032422",2016,8,0.25,2,2.88425489266713,"1",6,6,-0.2413863843701,0.295752390650969,0.0868696326630462
"22","M032424_1615_200516","M032424",2016,5,0,0,0,"0",13,6,-0.716836389920473,-0.85364894574257,-0.683675076984458
"23","M032446_1623_090616","M032446",2016,7,0.285714285714286,1,1.76428599556287,"1",6,3,-0.173464955005761,-0.2789482775458,-0.212336276921255
